Date,Indice,Value
2025-01-03,Obligations souveraines internationales,83.8890136687066
2025-01-06,Obligations souveraines internationales,83.97472783608278
2025-01-07,Obligations souveraines internationales,83.4985186403245
2025-01-08,Obligations souveraines internationales,83.24136887182033
2025-01-09,Obligations souveraines internationales,83.35565442832188
2025-01-10,Obligations souveraines internationales,82.71753584993597
2024-12-30,Or,183.26422040523644
2024-12-31,Or,183.8296238051482
2025-01-02,Or,189.86052630311343
2025-01-03,Or,187.93818062526378
2025-01-06,Or,185.95928310437841
2025-01-07,Or,187.3350903754673
2025-01-08,Or,189.57782460315755
2025-01-09,Or,189.89822753180394
2025-01-10,Or,192.51790215237062
2024-12-30,Argent,166.33888048411498
2024-12-31,Argent,166.35779122541604
2025-01-02,Argent,172.20121028744327
2025-01-03,Argent,173.0143721633888
2025-01-06,Argent,173.73298033282904
2025-01-07,Argent,173.99773071104389
2025-01-08,Argent,176.22919818456884
2025-01-09,Argent,177.36384266263235
2025-01-10,Argent,180.01134644478063
